snapshot_date,gender,collection,rank,title,category,season_tag,product_type,price,compare_at_price,on_sale,color_count,image,handle,tags
2026-07-13,W,bestsellers,41,Match Point Short - Gravel,SHORTS/SKIRT,SS,Women:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W6334R_05438_b2_s1_a1_dSP26_m134.jpg?v=1772527009,w6334r-match-point-short-gravel,b:1:Best Seller;BVCategory:Women;ChinaCatalog;Color:Gravel:Color;ColorGroup:Beige;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:L - XL;Filte
2026-07-13,W,bestsellers,42,Double Or Nothing Tennis Skirt - Black,SHORTS/SKIRT,SS,Women:Bottoms:Skirts,88.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W6574R_01_b2_s1_a1_dSP26_m191.jpg?v=1771232430,w6574r-double-or-nothing-tennis-skirt-black,b:1:Back in Stock;b:1:Best Seller;BISCollection;BVCategory:Women;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Fi
2026-07-13,W,bestsellers,43,Suit Up Trouser (Long) - Black,ETC,UNTAGGED,Women:Bottoms:Pants,148.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W54187R_01_b2_s1_a1_dSP26_m242_6633269e-29a0-424b-8114-5584580ec498.jpg?v=1771882591,w54187r-suit-up-trouser-long-black,b:1:Best Seller;BuilderDropzoneStyle:SUTRSER;BVCategory:Women;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Content:Builder;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySiz
2026-07-13,W,bestsellers,44,Slit Bra - Azure Blue,BRA/TANK,SS,Women:Bras,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W9218R_04830_b2_s1_a1_dSU26_m241.png?v=1781007857,w9218r-slit-bra-azure-blue,b:1:Best Seller;BVCategory:Women;Color:Azure Blue:Color;ColorGroup:Blue;ColorwayType:Limited;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:L
2026-07-13,W,bestsellers,45,Airlift Gingham Sleek Bra Tank - Navy Gingham,LEGGING,SS,Women:Bras,88.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W9984R_08036_b2_s1_a1_dSU26_m143.png?v=1781008140,w9984r-airlift-gingham-sleek-bra-tank-navy-gingham,b:1:Best Seller;BuilderDropzoneStyle:AIRLIFT;BVCategory:Women;ChinaCatalog;Color:Navy Gingham:Color;ColorGroup:Blue;ColorwayType:Limited;Content:Builder;Fabric:Airlift;Filter:DisplaySize:1:XXS - XS;Fi
2026-07-13,W,bestsellers,46,Seamless Ribbed Favorite Bra Tank - Azure Blue,BRA/TANK,SS,Women:Tops:Tanks,84.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W9730R_04830_b1_s1_a1_dSU26_m241_27284091-af74-43fd-9b12-081eec0c4a13.jpg?v=1781545172,w9730r-seamless-ribbed-favorite-bra-tank-azure-blue,b:1:Best Seller;BVCategory:Women;Color:Azure Blue:Color;ColorGroup:Blue;ColorwayType:Limited;Fabric:Ribbed;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:D
2026-07-13,W,bestsellers,47,Airbrush Better Together Bra - Azure Blue/White,LEGGING,SS,Women:Bras,88.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W9918R_08039_b2_s1_a1_dSU26_m235.png?v=1781008022,w9918r-airbrush-better-together-bra-azure-blue-white,b:1:Best Seller;BuilderDropzoneStyle:AIRBRUSH;BVCategory:Women;Color:Azure Blue:Color;ColorGroup:Blue;ColorwayType:Limited;Content:Builder;Fabric:Airbrush;Filter:DisplaySize:1:XXS - XS;Filter:DisplayS
2026-07-13,W,bestsellers,48,Accolade Straight Leg Sweatpant - Summer Romance Red,BOTTOM-WARM,FW,Women:Bottoms:Sweatpants,138.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/U5012RG_07952_b1_s1_a1_dSU26_m191.jpg?v=1779686163,u5012rg-accolade-straight-leg-sweatpant-summer-romance-red,AccoladeBoostBury;b:1:Best Seller;BR:unisex;builderdropzonestyle:FYFASL;BVCategory:Women;Color:Summer Romance Red:Color;ColorGroup:Red;ColorwayType:Limited;Content:Builder;Filter:DisplaySize:1:XXS - X
2026-07-13,W,bestsellers,49,Accolade Short - Navy,SHORTS/SKIRT,SS,Women:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W6472RG_03842_b2_s1_a1_dSU26_m191_e9584235-b300-40c9-bd81-b81c5e962a42.png?v=1779407461,w6472rg-accolade-short-navy,AccoladeBoostBury;b:1:Best Seller;BVCategory:Women;Color:Navy:Color;ColorGroup:Blue;ColorwayType:Limited;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:Dis
2026-07-13,W,bestsellers,50,Seamless Ribbed Favorite Bra Tank - Black,BRA/TANK,SS,Women:Tops:Tanks,84.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W9616R_01_b2_s1_a2_m191.jpg?v=1769645810,w9616r-seamless-ribbed-favorite-bra-tank-black,b:1:Best Seller;BVCategory:Women;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Content:Builder;Fabric:Seamless;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Fi
